
============================================================
 HPO: unet (20 trials x 50 epochs)
============================================================
  0%|          | 0/20 [00:00<?, ?it/s]  Ep   1/50 | loss=1.9847 | val dir=0.386 int=0.456 *
  Ep  28/50 | loss=1.4035 | val dir=0.595 int=0.599 *
  Ep  30/50 | loss=1.3823 | val dir=0.566 int=0.592
  Ep  40/50 | loss=1.2956 | val dir=0.588 int=0.595
  Early stop at ep 40
Best trial: 4. Best value: 0.613699:  85%|████████▌ | 17/20 [2:46:30<27:29, 549.82s/it]Best trial: 4. Best value: 0.613699:  90%|█████████ | 18/20 [2:46:30<15:56, 478.39s/it]  Ep   1/50 | loss=2.1227 | val dir=0.274 int=0.571 *
  Ep   2/50 | loss=2.0977 | val dir=0.278 int=0.589 *
  Ep   3/50 | loss=2.0352 | val dir=0.290 int=0.505 *
  Ep   4/50 | loss=1.9553 | val dir=0.341 int=0.560 *
  Ep   8/50 | loss=1.7212 | val dir=0.374 int=0.536 *
  Ep   9/50 | loss=1.6730 | val dir=0.449 int=0.584 *
  Ep  10/50 | loss=1.6520 | val dir=0.456 int=0.570 *
  Ep  11/50 | loss=1.6398 | val dir=0.468 int=0.512 *
  Ep  12/50 | loss=1.6013 | val dir=0.490 int=0.538 *
  Ep  16/50 | loss=1.5372 | val dir=0.510 int=0.522 *
  Ep  19/50 | loss=1.4918 | val dir=0.522 int=0.586 *
  Ep  20/50 | loss=1.4793 | val dir=0.545 int=0.556 *
  Ep  26/50 | loss=1.3852 | val dir=0.567 int=0.575 *
  Ep  30/50 | loss=1.3581 | val dir=0.522 int=0.588
  Ep  38/50 | loss=1.3339 | val dir=0.577 int=0.577 *
  Ep  40/50 | loss=1.2976 | val dir=0.589 int=0.567 *
  Ep  49/50 | loss=1.2566 | val dir=0.590 int=0.568 *
  Ep  50/50 | loss=1.2552 | val dir=0.586 int=0.559
Best trial: 4. Best value: 0.613699:  90%|█████████ | 18/20 [2:51:12<15:56, 478.39s/it]Best trial: 4. Best value: 0.613699:  95%|█████████▌| 19/20 [2:51:12<06:59, 419.40s/it]  Ep   1/50 | loss=2.0976 | val dir=0.055 int=0.525 *
  Ep   2/50 | loss=2.0882 | val dir=0.078 int=0.555 *
  Ep   3/50 | loss=2.0495 | val dir=0.159 int=0.638 *
  Ep   4/50 | loss=1.9942 | val dir=0.316 int=0.585 *
  Ep   5/50 | loss=1.9130 | val dir=0.403 int=0.589 *
  Ep   7/50 | loss=1.8036 | val dir=0.467 int=0.548 *
